,Packet Counter,Time,Lat,Long,alt /m,speed,bearing,sats,int temp,ex temp,Pressure (mb),Batt volts (hex),Batt volts,IRD1,IRD2,clear,red,green,blue,RSSI,checksum,,,RSSI (hex),Light (arb),Pressure (hex)
APEX,168,08:08:59,5212.8245,6.0355,22,0,0,8,15.25,15.63,1017.507801,98B,5.96092,7,0,340,1055,535,690,51,9F66,,,33,44D36B8A2,D21
APEX,169,08:09:49,5212.823,6.0372,18,5,183,8,15.69,15.63,1017.779135,98B,5.96092,4,0,350,1065,550,705,45,4AAD,,,2D,46D56E8D2,D22
APEX,170,08:10:39,5212.7937,6.0362,18,0,328,8,15.63,15.38,1017.779135,989,5.95604,4,0,485,1145,585,755,42,46BA,,,2A,61E575972,D22
APEX,171,08:11:29,5212.7936,6.0368,18,0,0,7,15.88,15.5,1018.050468,989,5.95604,3,0,1145,785,405,520,42,47D1,,,2A,E59D51682,D23
APEX,172,08:12:19,5212.7936,6.0365,17,0,0,6,16.13,15.5,1017.779135,988,5.9536,6,0,2100,1350,700,900,41,8A56,,,29,2A1B0E121,D22
APEX,173,08:13:09,5212.7929,6.0343,18,0,0,6,16.13,15.5,1017.779135,988,5.9536,5,0,2200,1400,750,950,46,8508,,,2E,2C1C0F131,D22
APEX,174,08:13:59,5212.7856,6.0027,19,0,289,7,15.5,15.56,1018.050468,987,5.95116,11,0,730,35,675,860,41,0BCE,,,29,920787AC2,D23
APEX,175,08:14:49,5212.7812,5.974,20,3,255,6,15.88,15.81,1017.779135,985,5.94628,5,0,2800,1800,950,1200,42,CAF5,,,2A,382413181,D22
APEX,176,08:15:39,5212.8106,6.0737,97,19,59,8,15.88,15.13,1002.584453,987,5.95116,6,0,3100,2000,1050,1300,47,555D,,,2F,3E28151A1,CEA
APEX,177,08:16:29,5212.9005,6.3981,434,22,63,9,15,12.81,964.0550809,986,5.94872,4,0,3850,3800,2450,2950,93,A020,,,5D,4D4C313B1,C5C
APEX,178,08:17:19,5212.8993,6.7388,801,35,91,9,14.06,11.63,924.7117082,984,5.94384,3,0,3850,3850,1950,2400,64,3635,,,40,4D4D27301,BCB
APEX,179,08:18:09,5212.8591,7.14,1118,47,91,8,12.69,9.69,891.3376748,982,5.93896,8,0,3550,2350,1200,1500,96,826B,,,60,472F181E1,B50
APEX,180,08:18:59,5212.8243,7.5714,1419,46,97,9,11.75,7,856.6069734,97E,5.9292,9,0,3850,2650,1350,1700,69,93D1,,,45,4D351B221,AD0
APEX,181,08:19:49,5212.8273,8.0444,1759,53,77,9,9.81,5,824.3182745,97A,5.91944,6,0,3650,2400,1250,1550,80,E3AB,,,50,4930191F1,A59
APEX,182,08:20:39,5212.8379,8.5314,2098,42,102,9,7.69,2.44,791.2155747,976,5.90968,8,0,3550,2300,1200,1500,97,E199,,,61,472E181E1,9DF
APEX,183,08:21:29,5212.8681,9.0131,2404,41,75,9,6.06,0.31,759.1982093,971,5.89748,3,0,3000,1950,1000,1250,93,B195,,,5D,3C2714191,969
APEX,184,08:22:19,5212.9204,9.4691,2774,46,70,8,4.75,-0.81,727.4521776,96D,5.88772,5,0,3850,3350,1700,2150,89,333F,,,59,4D43222B1,8F4
APEX,185,08:23:09,5212.9957,9.9349,3093,42,79,7,3.06,-1.44,697.6054811,967,5.87308,9,0,3850,3100,1600,2000,78,F195,,,4E,4D3E20281,886
APEX,186,08:23:59,5213.0761,10.4313,3399,32,75,7,1.38,-2.88,669.6581198,962,5.86088,11,0,3850,3550,1850,2300,103,D5C0,,,67,4D47252E1,81F
APEX,187,08:24:49,5213.1606,10.9221,3727,37,45,8,0.06,-4.69,642.2534257,95B,5.8438,5,0,3850,3650,1900,2350,72,BDB8,,,48,4D49262F1,7BA
APEX,188,08:25:39,5213.2631,11.4414,4060,42,84,7,-1.19,-6.63,615.3913988,955,5.82916,16,0,3850,3850,3000,3650,78,3.00E+66,,,4E,4D4D3C491,757
APEX,189,08:26:29,5213.3616,11.9746,4384,56,83,7,-2.5,-8.81,590.1573736,94F,5.81452,11,0,3000,1850,1000,1250,73,3D8B,,,49,3C2514191,6FA
APEX,190,08:27:19,5213.4614,12.5663,4726,38,90,8,-3.88,-10.75,564.3806811,949,5.79988,9,0,3850,3500,1800,2250,56,127A,,,38,4D46242D1,69B
APEX,191,08:28:09,5213.4946,13.1665,5067,60,74,8,-8.75,-12.44,539.1466559,941,5.78036,23,0,3850,3050,1550,1950,97,D116,,,61,4D3D1F271,63E
APEX,192,08:28:59,5213.4866,13.7749,5430,44,72,8,-8.75,-15.13,5.16E+02,93B,5.76572,20,0,3850,3850,2100,2600,74,9323,,,4A,4D4D2A341,5.00E+07
APEX,193,08:29:49,5213.4667,14.4704,5745,34,112,8,-10.63,-17.19,492.7486095,935,5.75108,18,0,3850,3850,2450,3050,59,D352,,,3B,4D4D313D1,593
APEX,194,08:30:40,5213.3759,15.2247,6087,65,122,7,-13,-19.13,470.2279203,92E,5.734,27,0,3850,3850,3250,3850,65,5380,,,41,4D4D414D1,540
APEX,195,08:31:31,5213.2149,15.9662,6429,88,102,8,-14.81,-21.44,448.5212319,927,5.71692,27,0,3400,2150,1150,1450,59,8499,,,3B,442B171D1,4F0
APEX,196,08:32:21,5213.0274,16.7861,6779,82,120,8,-17.19,-23.38,427.6285444,920,5.69984,30,0,3850,2900,1500,1900,86,5155,,,56,4D3A1E261,4A3
APEX,197,08:33:11,5212.8081,17.62,7124,78,125,8,-19.44,-25.81,407.278524,919,5.68276,26,0,3850,3800,2850,3550,111,02DA,,,6F,4D4C39471,458
APEX,198,08:34:02,5212.5573,18.5272,7485,63,124,8,-20.38,-28,386.9285037,910,5.6608,32,0,3800,3800,2300,2850,65,351F,,,41,4C4C2E391,40D
APEX,199,08:34:52,5212.2625,19.3929,7831,96,115,7,-21.56,-29.81,368.7491522,906,5.6364,47,0,3800,3600,1850,2250,85,5C93,,,55,4C48252D1,3CA
APEX,200,08:35:42,5211.9213,20.2574,8170,106,119,8,-25.13,-31.63,351.1124679,8FB,5.60956,61,0,3050,1850,1000,1250,66,8B19,,,42,3D2514191,389
APEX,201,08:36:32,5211.5716,21.1933,8528,104,128,8,-26.13,-34.06,333.7471172,8EE,5.57784,62,0,3750,2400,1250,1550,59,BECA,,,3B,4B30191F1,349
APEX,202,08:37:22,5211.2072,22.0954,8860,57,122,8,-27.19,-36.56,317.7384345,8.00E+04,5.55E+00,58,0,3750,3800,2050,2600,57,B0B4,,,39,4B4C29341,30E
